Dimension_0	Dimension_1	Dimension_2	Dimension_3	Dimension_4	DataSet	KxCount	Weight	TargetMean	Variance	NormalProfit
0	1	0	4	0	0	3	3	0	0	0
0	1	0	4	1	0	5	5	0.40000000000000002	0.040000000000000008	0
0	1	0	4	2	0	3	3	0	0	0
0	1	0	4	3	0	1	1	1	0	0
0	1	0	4	0	1	1	1	0	0	0
0	1	1	0	0	0	23	23	0.086956521739130432	0.00034370166695308463	0
0	1	1	0	1	0	21	21	0.14285714285714288	0.0010204081632653062	0
0	1	1	0	2	0	2	2	0.5	0.25	0
0	1	1	0	3	0	8	8	0.375	0.055803571428571432	0
0	1	1	0	0	1	3	3	0	0	0
0	1	1	0	1	1	10	10	0.29999999999999999	0.01	0
0	1	1	0	2	1	2	2	0	0	0
0	1	1	0	3	1	1	1	0	0	0
0	1	1	1	0	0	1	1	0	0	0
0	1	1	1	1	0	10	10	0	0	0
0	1	1	1	3	0	3	3	0	0	0
0	1	1	1	0	1	2	2	0	0	0
0	1	1	1	2	1	1	1	0	0	0
0	1	1	1	3	1	1	1	1	0	0
0	1	1	2	0	0	2	2	0	0	0
0	1	1	2	1	0	10	10	0.20000000000000001	0.071111111111111097	0
0	1	1	2	2	0	3	3	0	0	0
0	1	1	2	3	0	1	1	0	0	0
0	1	1	2	0	1	3	3	0.33333333333333331	0.22222222222222221	0
0	1	1	2	1	1	2	2	0	0	0
0	1	1	2	2	1	1	1	0	0	0
0	1	1	3	0	0	11	11	0.090909090909090912	0.00082644628099173573	0
0	1	1	3	1	0	34	34	0.11764705882352944	0.00041941910454021208	0
0	1	1	3	2	0	11	11	0	0	0
0	1	1	3	3	0	5	5	0	0	0
0	1	1	3	0	1	4	4	0	0	0
0	1	1	3	1	1	13	13	0.076923076923076913	0.00049309664694280071	0
0	1	1	3	2	1	3	3	0	0	0
0	1	1	3	3	1	2	2	0	0	0
0	1	1	4	0	0	1	1	0	0	0
0	1	1	4	1	0	8	8	0.5	0.035714285714285712	0
0	1	1	4	2	0	5	5	0.20000000000000001	0.16000000000000003	0
0	1	1	4	0	1	1	1	0	0	0
0	1	1	4	1	1	5	5	0.59999999999999998	0.040000000000000008	0
0	1	1	4	2	1	2	2	0.5	0.25	0
0	1	1	4	3	1	1	1	1	0	0
0	2	0	0	0	0	16	16	0.125	0.0010416666666666667	0
0	2	0	0	1	0	22	22	0.22727272727272732	0.0024596615505706422	0
0	2	0	0	2	0	14	14	0.35714285714285715	0.0098116169544740992	0
0	2	0	0	3	0	6	6	0.33333333333333337	0.088888888888888892	0
0	2	0	0	0	1	6	6	0.16666666666666669	0.0055555555555555558	0
0	2	0	0	1	1	13	13	0.30769230769230765	0.039940828402366874	0
0	2	0	0	2	1	4	4	0	0	0
0	2	0	0	3	1	4	4	0.75	0.020833333333333325	0
0	2	0	1	0	0	2	2	0.5	0.25	0
0	2	0	1	1	0	2	2	0	0	0
0	2	0	1	3	0	1	1	0	0	0
0	2	0	1	0	1	2	2	0	0	0
0	2	0	1	2	1	1	1	1	0	0
0	2	0	2	0	0	5	5	0	0	0
0	2	0	2	1	0	13	13	0.38461538461538458	0.012327416173570017	0
0	2	0	2	2	0	7	7	0.14285714285714288	0.0034013605442176878	0
0	2	0	2	3	0	4	4	0.5	0.083333333333333343	0
0	2	0	2	0	1	5	5	0.40000000000000002	0.040000000000000008	0
0	2	0	2	1	1	5	5	0	0	0
0	2	0	2	2	1	2	2	0	0	0
0	2	0	2	3	1	2	2	0	0	0
0	2	0	3	0	0	9	9	0.44444444444444442	0.024691358024691357	0
0	2	0	3	1	0	17	17	0.23529411764705888	0.0034602076124567488	0
0	2	0	3	2	0	13	13	0.23076923076923078	0.049309664694280067	0
0	2	0	3	3	0	6	6	0.83333333333333337	0.0055555555555555532	0
0	2	0	3	0	1	3	3	0	0	0
0	2	0	3	1	1	8	8	0.625	0.055803571428571432	0
0	2	0	3	2	1	2	2	0	0	0
0	2	0	3	3	1	1	1	0	0	0
0	2	0	4	0	0	2	2	0	0	0
0	2	0	4	1	0	4	4	0.25	0.020833333333333336	0
0	2	0	4	2	0	1	1	0	0	0
0	2	0	4	3	0	2	2	0.5	0.25	0
0	2	0	4	1	1	2	2	0	0	0
0	2	0	4	3	1	1	1	0	0	0
0	2	1	0	0	0	19	19	0.26315789473684209	0.0038473376423514933	0
0	2	1	0	1	0	29	29	0.20689655172413793	0.0015287922541192458	0
0	2	1	0	2	0	6	6	0.16666666666666669	0.0055555555555555558	0
0	2	1	0	3	0	5	5	0.20000000000000001	0.010000000000000002	0
0	2	1	0	0	1	5	5	0.20000000000000001	0.16000000000000003	0
0	2	1	0	1	1	9	9	0.1111111111111111	0.0015432098765432098	0
0	2	1	0	2	1	6	6	0	0	0
0	2	1	0	3	1	5	5	0.40000000000000002	0.089999999999999997	0
0	2	1	1	0	0	3	3	0	0	0
0	2	1	1	1	0	4	4	0.25	0.020833333333333336	0
0	2	1	1	2	0	2	2	0	0	0
0	2	1	1	3	0	2	2	0	0	0
0	2	1	1	0	1	1	1	0	0	0
0	2	1	2	0	0	3	3	0	0	0
0	2	1	2	1	0	16	16	0.12500000000000003	0.0010416666666666671	0
0	2	1	2	2	0	2	2	0	0	0
0	2	1	2	3	0	1	1	0	0	0
0	2	1	2	0	1	1	1	0	0	0
0	2	1	2	1	1	7	7	0	0	0
0	2	1	2	3	1	2	2	0.5	0.25	0
0	2	1	3	0	0	16	16	0.25	0.037500000000000006	0
0	2	1	3	1	0	23	23	0.043478260869565223	8.5925416738271213e-005	0
0	2	1	3	2	0	10	10	0	0	0
0	2	1	3	3	0	8	8	0	0	0
0	2	1	3	0	1	4	4	0	0	0
0	2	1	3	1	1	12	12	0.16666666666666669	0.0025252525252525255	0
0	2	1	3	2	1	8	8	0	0	0
0	2	1	3	3	1	2	2	0	0	0
0	2	1	4	0	0	5	5	0.20000000000000001	0.010000000000000002	0
0	2	1	4	1	0	3	3	0.66666666666666663	0.055555555555555552	0
0	2	1	4	2	0	1	1	0	0	0
0	2	1	4	0	1	1	1	0	0	0
0	2	1	4	1	1	2	2	0.5	0.25	0
0	2	1	4	3	1	1	1	0	0	0
1	0	0	0	0	0	42	42	0.023809523809523815	1.3826668878933692e-005	0
1	0	0	0	1	0	87	87	0.068965517241379323	5.5305146143848698e-005	0
1	0	0	0	2	0	34	34	0.029411764705882353	2.6213694033763241e-005	0
1	0	0	0	3	0	10	10	0.099999999999999992	0.0011111111111111109	0
1	0	0	0	0	1	16	16	0.1875	0.0023437500000000003	0
1	0	0	0	1	1	40	40	0.12500000000000003	0.00040064102564102574	0
1	0	0	0	2	1	14	14	0	0	0
1	0	0	0	3	1	5	5	0.20000000000000001	0.16000000000000003	0
1	0	0	1	0	0	11	11	0	0	0
1	0	0	1	1	0	14	14	0	0	0
1	0	0	1	2	0	6	6	0	0	0
1	0	0	1	3	0	4	4	0.25	0.020833333333333336	0
1	0	0	1	0	1	3	3	0	0	0
1	0	0	1	1	1	3	3	0	0	0
1	0	0	1	2	1	5	5	0	0	0
1	0	0	1	3	1	1	1	0	0	0
1	0	0	2	0	0	24	24	0.083333333333333343	0.00030193236714975849	0
1	0	0	2	1	0	41	41	0.048780487804878044	5.9488399762046407e-005	0
1	0	0	2	2	0	16	16	0	0	0
1	0	0	2	3	0	9	9	0	0	0
1	0	0	2	0	1	9	9	0	0	0
1	0	0	2	1	1	24	24	0	0	0
1	0	0	2	2	1	5	5	0	0	0
1	0	0	2	3	1	6	6	0	0	0
1	0	0	3	0	0	59	59	0.033898305084745763	1.9811984269284489e-005	0
1	0	0	3	1	0	101	101	0.089108910891089105	7.9403980001960576e-005	0
1	0	0	3	2	0	34	34	0	0	0
1	0	0	3	3	0	16	16	0	0	0
1	0	0	3	0	1	22	22	0.13636363636363635	0.00088547815820543072	0
1	0	0	3	1	1	30	30	0.033333333333333333	3.8314176245210727e-005	0
1	0	0	3	2	1	18	18	0.11111111111111113	0.00072621641249092251	0
1	0	0	3	3	1	4	4	0	0	0
1	0	0	4	0	0	7	7	0	0	0
1	0	0	4	1	0	11	11	0.090909090909090912	0.082644628099173556	0
1	0	0	4	2	0	5	5	0.40000000000000002	0.040000000000000008	0
1	0	0	4	3	0	1	1	0	0	0
1	0	0	4	0	1	1	1	0	0	0
1	0	0	4	1	1	1	1	0	0	0
1	0	0	4	3	1	1	1	0	0	0
1	0	1	0	0	0	52	52	0.057692307692307702	6.5262791507135441e-005	0
1	0	1	0	1	0	99	99	0.060606060606060615	3.7480556961076448e-005	0
1	0	1	0	2	0	38	38	0	0	0
1	0	1	0	3	0	12	12	0.24999999999999997	0.0056818181818181811	0
1	0	1	0	0	1	20	20	0.049999999999999996	0.00013157894736842105	0
1	0	1	0	1	1	41	41	0.048780487804878044	5.9488399762046407e-005	0
1	0	1	0	2	1	4	4	0	0	0
1	0	1	0	3	1	9	9	0	0	0
1	0	1	1	0	0	8	8	0	0	0
1	0	1	1	1	0	17	17	0	0	0
1	0	1	1	2	0	11	11	0	0	0
1	0	1	1	3	0	3	3	0	0	0
1	0	1	1	0	1	6	6	0	0	0
1	0	1	1	1	1	6	6	0	0	0
1	0	1	1	3	1	1	1	0	0	0
1	0	1	2	0	0	30	30	0	0	0
1	0	1	2	1	0	53	53	0.037735849056603779	2.7384505846591998e-005	0
1	0	1	2	2	0	13	13	0	0	0
1	0	1	2	3	0	4	4	0	0	0
1	0	1	2	0	1	5	5	0	0	0
1	0	1	2	1	1	18	18	0	0	0
1	0	1	2	2	1	6	6	0	0	0
1	0	1	2	3	1	2	2	0	0	0
1	0	1	3	0	0	41	41	0.04878048780487805	5.9488399762046407e-005	0
1	0	1	3	1	0	102	102	0.019607843137254905	3.8066090346058836e-006	0
1	0	1	3	2	0	32	32	0.031250000000000007	3.1502016129032271e-005	0
1	0	1	3	3	0	12	12	0.16666666666666666	0.002525252525252525	0
1	0	1	3	0	1	15	15	0	0	0
1	0	1	3	1	1	30	30	0.066666666666666666	0.00015325670498084291	0
1	0	1	3	2	1	15	15	0	0	0
1	0	1	3	3	1	5	5	0.20000000000000001	0.010000000000000002	0
1	0	1	4	0	0	5	5	0	0	0
1	0	1	4	1	0	11	11	0.1818181818181818	0.0033057851239669421	0
1	0	1	4	2	0	4	4	0	0	0
1	0	1	4	3	0	2	2	0	0	0
1	0	1	4	0	1	2	2	0	0	0
1	0	1	4	1	1	3	3	0	0	0
1	0	1	4	2	1	1	1	0	0	0
1	0	1	4	3	1	1	1	0	0	0
1	1	0	0	0	0	60	60	0.1833333333333334	0.00056967984934086665	0
1	1	0	0	1	0	77	77	0.12987012987012986	0.00022192435042742628	0
1	1	0	0	2	0	22	22	0.090909090909090925	0.00039354584809130278	0
1	1	0	0	3	0	20	20	0.099999999999999992	0.0005263157894736842	0
1	1	0	0	0	1	14	14	0.14285714285714285	0.0015698587127158554	0
1	1	0	0	1	1	26	26	0.26923076923076922	0.0028994082840236683	0
1	1	0	0	2	1	13	13	0.076923076923076927	0.00049309664694280092	0
1	1	0	0	3	1	5	5	0.20000000000000001	0.010000000000000002	0
1	1	0	1	0	0	9	9	0	0	0
1	1	0	1	1	0	15	15	0.20000000000000004	0.0028571428571428584	0
1	1	0	1	2	0	4	4	0	0	0
1	1	0	1	3	0	3	3	0	0	0
1	1	0	1	0	1	3	3	0	0	0
1	1	0	1	1	1	7	7	0	0	0
1	1	0	1	2	1	3	3	0	0	0
1	1	0	2	0	0	18	18	0	0	0
1	1	0	2	1	0	34	34	0.23529411764705882	0.0016776764181608474	0
1	1	0	2	2	0	11	11	0	0	0
1	1	0	2	3	0	8	8	0.375	0.055803571428571432	0
1	1	0	2	0	1	10	10	0	0	0
1	1	0	2	1	1	18	18	0.055555555555555552	0.0001815541031227306	0
1	1	0	2	2	1	7	7	0	0	0
1	1	0	2	3	1	3	3	0	0	0
1	1	0	3	0	0	49	49	0.081632653061224511	0.00013883104262113016	0
1	1	0	3	1	0	86	86	0.069767441860465143	5.7264658161804522e-005	0
1	1	0	3	2	0	28	28	0.035714285714285726	4.7241118669690127e-005	0
1	1	0	3	3	0	13	13	0.38461538461538464	0.012327416173570022	0
1	1	0	3	0	1	16	16	0.12500000000000003	0.0010416666666666671	0
1	1	0	3	1	1	42	42	0.23809523809523808	0.0013826668878933687	0
1	1	0	3	2	1	14	14	0.071428571428571425	0.00039246467817896386	0
1	1	0	3	3	1	9	9	0.1111111111111111	0.0015432098765432098	0
1	1	0	4	0	0	6	6	0.33333333333333337	0.022222222222222223	0
